id,(Intercept),SoilProfileL,SpeciesPS,SpeciesSOBI,AmendmentControl,AmendmentTBA,TimePeriodB,TimePeriodC,TimePeriodD
d__Bacteria;p__Actinobacteriota,0.07226217133773291,0.04277757866014541,0.04851772906869903,0.05365621381186506,0.052468557642447115,0.05426847446775032,0.06825882832371132,0.07394708282262831,0.07117247296649573
d__Bacteria;p__Chloroflexi,0.06665910953080315,0.055553991777216524,0.03965747635994663,0.07822537097247702,0.07146579365317128,0.07689907914648929,0.08458054809388903,0.07395254320488548,0.0610483513320378
d__Bacteria;p__Proteobacteria,0.06471832665843676,0.04067624395239772,0.045600704940036124,0.04963989524644558,0.0491249438948951,0.05129752267755451,0.0567077188916694,0.06291307524686628,0.062100287526706294
d__Bacteria;p__Entotheonellaeota,0.1471527594934413,0.059642456227026304,0.06983164872418061,0.07174446373699668,0.07427262065863026,0.07572398400812692,0.14625634550309421,0.15047530244251162,0.14529381156252624
d__Bacteria;p__Myxococcota,0.06218602303179093,0.03961638687505917,0.046596169098817496,0.04931871081158608,0.050966762207353626,0.04975026277362045,0.04859602637831047,0.05899659655734985,0.05034848540040572
d__Bacteria;p__Verrucomicrobiota,0.08942449765560281,0.04479700287891532,0.04238235508657151,0.06120501836632506,0.06024443482709561,0.059788251881139884,0.09457172741379752,0.08345954197321319,0.08430926705458157
d__Bacteria;p__Deinococcota,0.13149676205778635,0.09581899575122034,0.10800073789121203,0.11992053147046805,0.11621180427063743,0.12169959270545505,0.11157953610725678,0.11726168214192605,0.1285549765991677
d__Bacteria;p__Latescibacterota,0.16917317902474036,0.1001612571386618,0.11560471332587649,0.12799298724479677,0.12779775073466235,0.1229062649012153,0.15365837602182197,0.17347402271295267,0.1605886829535274
d__Bacteria;p__Patescibacteria,0.1623685590398402,0.08133282492215183,0.10335585493130514,0.09936494143001356,0.10421616470025592,0.09467628620650853,0.15531120285964234,0.1499979185701366,0.14758354692671524
d__Bacteria;p__Gemmatimonadota,0.05260639653191177,0.03557427337897985,0.03647492862104629,0.047146818470463286,0.04116682669574928,0.04554964170577557,0.04597937107128027,0.05351508019138418,0.04404289256214472
